"id","name","degrees","qualification_type","created_at"
1,"information science and engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.720351+00"
2,"computer science","[{""id"": 13, ""name"": ""bachelor of computer application"", ""created"": ""2023-01-11T16:34:38.624444Z"", ""details"": {""shortname"": ""bca"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.624444Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.726355+00"
3,"aeronautical engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.728459+00"
4,"architecture","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.730131+00"
5,"automobile engineering","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.731949+00"
6,"biomedical sciences","[{""id"": 3, ""name"": ""bachelor of arts"", ""created"": ""2023-01-11T16:34:38.605109Z"", ""details"": {""shortname"": ""ba"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.605109Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.733778+00"
7,"biotechnology","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.735559+00"
9,"photography","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.738899+00"
10,"artificial intelligence and data science","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.740609+00"
11,"intelligent robotics","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:26.742279+00"
12,"electronics and communication","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.743911+00"
15,"environmental science","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.748854+00"
16,"industrial engineering and management","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.75053+00"
17,"industrial production","null","degree","2023-01-11 16:31:26.75214+00"
18,"electronics and communication engineering","[{""id"": 64, ""name"": ""iti""}]","iti","2023-01-11 16:31:26.75381+00"
19,"medical electronics","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.755476+00"
21,"mining engineering","[{""id"": 76, ""name"": ""master of engineering""}, {""id"": 91, ""name"": ""master of technology""}]","masters","2023-01-11 16:31:26.758754+00"
22,"mechatronics engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.760408+00"
23,"investment management","[{""id"": 68, ""name"": ""master of business administration""}]","masters","2023-01-11 16:31:26.762043+00"
24,"polymer science and technology","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.763699+00"
25,"automation and robotics","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.765349+00"
26,"aerospace engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.766986+00"
27,"clinical embryology with pre implantation genetics","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:26.768578+00"
28,"pharma analytical sciences","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:26.770173+00"
29,"medical physiotherapy","[{""id"": 33, ""name"": ""bachelor of physiotherapy""}]","degree","2023-01-11 16:31:26.771808+00"
31,"pulp and paper technology","[{""id"": 76, ""name"": ""master of engineering""}, {""id"": 91, ""name"": ""master of technology""}]","masters","2023-01-11 16:31:26.775032+00"
32,"pme (physics maths electronics)","null","degree","2023-01-11 16:31:26.77668+00"
33,"pmcs (physics mathematics and computer science)","null","degree","2023-01-11 16:31:26.778317+00"
34,"chemistry botany and zoology","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.779916+00"
35,"biotechnology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.781499+00"
36,"microbiology","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.783115+00"
37,"information technology","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.784708+00"
38,"renewable energy technology","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:26.786308+00"
39,"accounting and mathematics","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.787917+00"
40,"accounting and taxation","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.791717+00"
41,"accounting","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.793228+00"
42,"accounts and business","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.794853+00"
43,"accounting and finance","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.799552+00"
44,"applied geophysics","[{""id"": 103, ""name"": ""integrated master of technology""}]","degree","2023-01-11 16:31:26.801185+00"
45,"aerospace engineering","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.803334+00"
46,"agriculture","[{""id"": 98, ""name"": ""bachelor of science in agriculture"", ""created"": ""2023-03-28T11:27:27.635083Z"", ""details"": {""shortname"": ""BSCAG"", ""qualification_type"": {""id"": 3, ""name"": ""degree"", ""created"": ""2023-01-10T05:33:03.632278Z"", ""details"": {}, ""updated"": ""2023-01-10T05:33:03.632278Z"", ""priority"": true}}, ""updated"": ""2023-03-28T11:27:27.635083Z"", ""priority"": false}]","degree","2023-01-11 16:31:26.804926+00"
47,"agricultural biotechnology","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.806597+00"
49,"agriculture","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.809782+00"
50,"actuarial management","[{""id"": 10, ""name"": ""bachelor of commerce""}]","degree","2023-01-11 16:31:26.81137+00"
51,"anaesthesia technology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.813046+00"
52,"aircraft maintenance engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.817522+00"
53,"aircraft maintenance science","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""bsc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-05-09T04:58:44.338501Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.819367+00"
54,"public administration","[{""id"": 3, ""name"": ""bachelor of arts""}]","degree","2023-01-11 16:31:26.820957+00"
55,"pharmaceutical sciences","[{""id"": 109, ""name"": ""doctor of pharmacy""}]","degree","2023-01-11 16:31:26.822582+00"
56,"animation","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.824226+00"
57,"unani medicine","[{""id"": 41, ""name"": ""bachelor of unani medicine & surgery""}]","degree","2023-01-11 16:31:26.825856+00"
58,"animation and multimedia","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.827443+00"
59,"animation and visual effects","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.829214+00"
60,"optometry","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:26.831292+00"
61,"anthropology","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.832932+00"
62,"fashion and apparel design","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.834764+00"
63,"urban and regional planning","[{""id"": 2, ""name"": ""bachelor of architecture""}]","degree","2023-01-11 16:31:26.836512+00"
64,"business analytics","[{""id"": 99, ""name"": ""bachelor of management studies""}]","degree","2023-01-11 16:31:26.838099+00"
65,"marine sciences","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.839957+00"
66,"genetic engineering","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:26.841582+00"
67,"applied electronics","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.843149+00"
69,"ayurvedic medicine","[{""id"": 5, ""name"": ""bachelor of ayurvedic medicine and surgery""}]","degree","2023-01-11 16:31:26.846467+00"
70,"artificial intelligence and machine learning engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.848097+00"
73,"automobile engineering","[{""id"": 64, ""name"": ""iti""}]","iti","2023-01-11 16:31:26.853282+00"
74,"aviation management","[{""id"": 6, ""name"": ""bachelor of business administration""}]","degree","2023-01-11 16:31:26.855257+00"
75,"renal dialysis technology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.857232+00"
76,"molecular biology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.859165+00"
77,"architecture","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.861251+00"
78,"journalism","[{""id"": 12, ""name"": ""bachelor of communication & journalism""}]","degree","2023-01-11 16:31:26.863261+00"
79,"healthcare and medical science","[{""id"": 41, ""name"": ""bachelor of unani medicine & surgery""}]","degree","2023-01-11 16:31:26.865258+00"
80,"knitwear design","[{""id"": 15, ""name"": ""bachelor of design""}]","degree","2023-01-11 16:31:26.86721+00"
81,"home science","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.869179+00"
82,"banking and finance","[{""id"": 6, ""name"": ""bachelor of business administration""}]","degree","2023-01-11 16:31:26.87114+00"
83,"human resource management","[{""id"": 3, ""name"": ""bachelor of arts""}]","degree","2023-01-11 16:31:26.873201+00"
84,"banking and finance","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.875168+00"
85,"banking and insurance","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.877389+00"
86,"hospitality management","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:26.880051+00"
87,"biochemistry","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""bsc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-05-09T04:58:44.338501Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.881987+00"
88,"bioinformatics","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.883985+00"
89,"ceramic technology","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.886072+00"
90,"biology","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.887677+00"
92,"biomedical engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.890904+00"
93,"cardiac care technology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.892515+00"
94,"information system management","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.894275+00"
95,"botany","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.895901+00"
96,"medical imaging technology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.897618+00"
97,"materials science and engineering","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.899206+00"
98,"fire and industrial safety","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.900808+00"
99,"cosmetics technology","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.902399+00"
100,"bengali","[{""id"": 3, ""name"": ""bachelor of arts""}]","degree","2023-01-11 16:31:26.903993+00"
101,"pharmacy","[{""id"": 30, ""name"": ""bachelor of pharmacy"", ""created"": ""2023-01-11T16:34:38.652794Z"", ""details"": {""shortname"": ""b pharma"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.652794Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.90562+00"
102,"business administration","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.907192+00"
103,"business management","[{""id"": 6, ""name"": ""bachelor of business administration""}]","degree","2023-01-11 16:31:26.908816+00"
104,"business management","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.911972+00"
105,"information technology","[{""id"": 10, ""name"": ""bachelor of commerce""}]","degree","2023-01-11 16:31:26.914208+00"
106,"precision manufacturing","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.916034+00"
107,"hotel management and catering science","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.9178+00"
108,"pharmacology","null","degree","2023-01-11 16:31:26.920168+00"
109,"ceramic technology","[{""id"": 91, ""name"": ""master of technology""}, {""id"": 76, ""name"": ""master of engineering""}]","masters","2023-01-11 16:31:26.921982+00"
110,"ceramic technology","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.923755+00"
111,"chemical engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.925451+00"
112,"chemistry","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.927124+00"
113,"business management","[{""id"": 3, ""name"": ""bachelor of arts""}]","degree","2023-01-11 16:31:26.928804+00"
114,"aviation and tourism management","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.930483+00"
115,"plant biology and plant biotechnology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.932098+00"
116,"biotechnology botany and  chemistry","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.933702+00"
117,"optometry","[{""id"": 101, ""name"": ""bachelor of optometry""}]","degree","2023-01-11 16:31:26.935276+00"
118,"clinical nutrition","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.936873+00"
119,"biotechnology","[{""id"": 103, ""name"": ""integrated master of technology""}]","degree","2023-01-11 16:31:26.938475+00"
120,"mathematics","[{""id"": 16, ""name"": ""bachelor of education""}]","degree","2023-01-11 16:31:26.940064+00"
121,"financial management","[{""id"": 113, ""name"": ""bachelor in financial management""}]","degree","2023-01-11 16:31:26.941656+00"
122,"nanoscience and technology","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.943235+00"
123,"civil engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.944831+00"
124,"aircraft maintenance engineering","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.946418+00"
125,"cloud technology and information security","[{""id"": 13, ""name"": ""bachelor of computer application""}]","degree","2023-01-11 16:31:26.948005+00"
126,"optometry","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.949599+00"
127,"commerce","[{""id"": 10, ""name"": ""bachelor of commerce""}]","degree","2023-01-11 16:31:26.951183+00"
128,"computer applications","[{""id"": 6, ""name"": ""bachelor of business administration""}]","degree","2023-01-11 16:31:26.952786+00"
129,"information and communication technology","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.954409+00"
131,"computer science and business systems","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.9576+00"
132,"information technology","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.959171+00"
133,"islamic studies","[{""id"": 3, ""name"": ""bachelor of arts""}]","degree","2023-01-11 16:31:26.960795+00"
134,"community science","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.962398+00"
136,"dairy science","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:26.965568+00"
137,"computer applications","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.967144+00"
138,"computer engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.96874+00"
139,"industrial tool manufacturing","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:26.970321+00"
140,"micro wave and radar engineering","[{""id"": 91, ""name"": ""master of technology""}, {""id"": 76, ""name"": ""master of engineering""}]","masters","2023-01-11 16:31:26.971906+00"
141,"mathematics","[{""id"": 87, ""name"": ""master of philosophy""}]","masters","2023-01-11 16:31:26.973515+00"
142,"statistics","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:26.975624+00"
143,"investment management","[{""id"": 10, ""name"": ""bachelor of commerce""}]","degree","2023-01-11 16:31:26.977206+00"
144,"interior design","[{""id"": 15, ""name"": ""bachelor of design""}]","degree","2023-01-11 16:31:26.978786+00"
146,"construction technology and management","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.981959+00"
147,"corporate secretaryship","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.983543+00"
148,"manufacturing science and engineering","[{""id"": 76, ""name"": ""master of engineering""}, {""id"": 91, ""name"": ""master of technology""}]","masters","2023-01-11 16:31:26.985132+00"
149,"media management","[{""id"": 68, ""name"": ""master of business administration""}]","masters","2023-01-11 16:31:26.98673+00"
150,"costume design and fashion","[{""id"": 35, ""name"": ""bachelor of science"", ""created"": ""2023-01-11T16:34:38.660955Z"", ""details"": {""shortname"": ""b sc"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.660955Z"", ""priority"": true}]","degree","2023-01-11 16:31:26.988318+00"
151,"cyber security","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.989904+00"
152,"dairy technology","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:26.991492+00"
153,"data analytics","[{""id"": 68, ""name"": ""master of business administration""}]","masters","2023-01-11 16:31:26.993084+00"
154,"data science","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.994685+00"
155,"fine arts","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:26.996272+00"
156,"computer and communication engineering","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:26.997863+00"
157,"water resources engineering","[{""id"": 91, ""name"": ""master of technology""}, {""id"": 76, ""name"": ""master of engineering""}]","masters","2023-01-11 16:31:26.999453+00"
158,"marketing","[{""id"": 99, ""name"": ""bachelor of management studies""}]","degree","2023-01-11 16:31:27.001062+00"
159,"computer engineering and it infrastructure","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:27.002662+00"
160,"digital techniques for design and planning","[{""id"": 17, ""name"": ""bachelor of engineering""}, {""id"": 37, ""name"": ""bachelor of technology""}]","degree","2023-01-11 16:31:27.004284+00"
161,"business process and data analytics","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:27.005872+00"
162,"petrochemical engineering","[{""id"": 37, ""name"": ""bachelor of technology""}, {""id"": 17, ""name"": ""bachelor of engineering""}]","degree","2023-01-11 16:31:27.007455+00"
163,"ecommerce","[{""id"": 10, ""name"": ""bachelor of commerce"", ""created"": ""2023-01-11T16:34:38.619095Z"", ""details"": {""shortname"": ""b com"", ""qualification_type"": {""id"": 3, ""name"": ""degree""}}, ""updated"": ""2023-01-11T16:34:38.619095Z"", ""priority"": true}]","degree","2023-01-11 16:31:27.009041+00"
164,"cyber and digital science","[{""id"": 35, ""name"": ""bachelor of science""}]","degree","2023-01-11 16:31:27.010642+00"
